年,ENSO_summer,ENSO_winter,ENSO_next_winter,うめ開花,さくら開花,さくら満開,あじさい開花,すすき開花,いちょう黄葉,いちょう落葉,かえで紅葉,かえで落葉,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年の値,春平均気温,夏平均気温,秋平均気温,冬平均気温,次の冬平均気温
2011,LaNina,LaNina,Neutral,101,108,115,189,233,324,335,333,346,1.6,0.3,1.7,8.9,15.6,20.8,25,25.6,21.8,14.1,8.2,1.4,11.8,8.733333333333333,23.8,14.699999999999998,1.7999999999999998,1.7333333333333334
2012,Neutral,Neutral,Neutral,109,113,116,187,227,321,332,330,344,1.8,2,2.8,9.3,15.6,19.3,24.4,27,23.3,14.7,7.6,1.1,11.8,9.233333333333334,23.566666666666666,15.200000000000001,1.7333333333333334,1.1666666666666667
2013,Neutral,Neutral,Neutral,103,105,109,NA,226,325,331,327,345,1.2,1.2,3.7,9,15.9,21.4,23.7,25.6,21,15.5,7.1,2.4,11.9,9.533333333333333,23.566666666666663,14.533333333333333,1.1666666666666667,1
2014,Neutral,Neutral,ElNino,98,104,107,NA,226,316,325,316,335,0.1,0.5,3.7,10.3,16.8,21.4,24.1,25,19.4,13.3,7.7,0.3,11.8,10.266666666666667,23.5,13.466666666666669,1,0.4666666666666666
2015,ElNino,ElNino,ElNino,92,100,105,NA,215,314,324,316,328,0.2,0.9,5,11.6,18.6,20.6,25.3,24.3,19.8,13.7,9.1,3.7,12.7,11.733333333333334,23.400000000000002,14.200000000000001,0.4666666666666666,2
2016,ElNino,ElNino,LaNina,77,96,100,NA,215,320,329,332,340,0.9,1.4,5.5,11.5,17.9,20.7,23.5,25.7,21.7,13.9,6.6,3.2,12.7,11.633333333333333,23.3,14.066666666666668,2,1.5333333333333332
2017,LaNina,LaNina,LaNina,95,104,107,NA,234,311,320,340,348,0.3,1.1,3.6,10.5,17.4,19.1,25.5,24.2,19.8,13.6,6.7,1.3,11.9,10.5,22.933333333333334,13.366666666666667,1.5333333333333332,1.1333333333333335
2018,LaNina,LaNina,ElNino,90,94,101,NA,235,318,325,339,345,1.1,1,5.8,11.6,16.8,20.9,26.8,25,20.1,14.9,8.8,2.3,12.6,11.4,24.233333333333334,14.6,1.1333333333333335,1.3333333333333333
2019,ElNino,ElNino,LaNina,85,102,107,NA,219,330,337,338,347,0.1,1.6,5.5,9.5,17.6,19.9,23.5,26.8,21.5,15.4,8.3,3.3,12.8,10.866666666666667,23.400000000000002,15.066666666666668,1.3333333333333333,2.6999999999999997
2020,LaNina,LaNina,LaNina,78,93,99,NA,222,322,326,329,342,2.3,2.5,6.1,9,17.2,22.1,22.8,27,22.4,14,8.6,1.9,13,10.766666666666666,23.96666666666667,15,2.6999999999999997,1.3666666666666665
2021,LaNina,LaNina,LaNina,86,92,95,179,216,315,327,328,347,1,1.2,6.5,10.6,16.5,21.6,25.3,25.4,20,14.6,8.9,2.4,12.7,11.200000000000001,24.100000000000005,14.5,1.3666666666666665,1.1
2022,LaNina,LaNina,ElNino,95,101,103,179,234,315,326,329,339,0.8,0.1,4.4,11.6,16.9,21,25.8,25.4,22.1,13.9,9.4,2.1,12.6,10.966666666666667,24.066666666666663,15.133333333333333,1.1,0.9333333333333332
2023,ElNino,ElNino,ElNino,79,90,95,177,222,324,334,340,348,0,0.7,7.4,12.1,16.4,21.6,26,28.7,24.4,14.7,9.2,3.7,13.7,11.966666666666667,25.433333333333334,16.099999999999998,0.9333333333333332,3
2024,ElNino,ElNino,NA,81,97,100,171,213,322,331,338,347,2.3,3,4,14.2,17.2,22.1,26,27.5,23,16.6,8.8,2.2,13.9,11.799999999999999,25.2,16.133333333333336,3,2.2
